song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Tribute,Tenacious D,2001,Group,male,00:04:02,english,Mischa,new,20221101,2.14,"halloween,halloween2024"
True Colors,Cindy Lauper,1986,Person,female,00:03:34,english,Jeremie,new,20230620,2.69,pride
True Trans Soul Rebel,Against Me!,2014,Group,male,00:03:04,english,Jeremie,new,20240625,2.909,pride
Truly Madly Deeply,Savage Garden,1997,Group,male,00:04:34,english,Bastien,new,20220621,1.445,"valentines,pride"
Twist in My Sobriety,Tanita Tikaram,1988,Person,female,00:04:46,english,Mischa,new,20240625,1.411,pride
Up in Arms,Aslan (feat. Sinéad O'Connor),2007,Group,duet,00:03:30,english,Mischa,new,,,
Valerie,Amy Winehouse,2007,Person,female,00:03:36,english,Mischa,old,20211116,3.092,"regular,valentines,womens,pride"
vampire,Olivia Rodrigo,2023,Person,female,00:03:38,english,Mischa,new,20231031,2.071,"regular,womens,halloween,halloween2024"
Voyage voyage,Desireless,2001,Person,male,00:04:06,french,Mischa,new,20240716,4.643,bastille
Wake Up,Arcade Fire,2005,Group,male,00:05:28,english,Jeremie,off,20220524,1.412,regular
Walk Of Life,Dire Straits,1985,Group,male,00:03:56,english,Mischa,old,,,
Walking On Sunshine,Katrina & The Waves,1985,Group,female,00:03:44,english,Mischa,new,20240109,2.26,"regular,valentines,womens,pride"
Waterloo,ABBA,1977,Group,female,00:02:42,english,Mischa,new,20230509,2.164,"regular,valentines,womens,pride"
We Are Family,Sister Sledge,1979,Group,female,00:03:24,english,Mischa,new,20230620,1.735,pride
We Are Young,fun. (feat. Janelle Monáe),2011,Person,male,00:04:06,english,Jeremie,new,20230620,2.757,pride
What's Up?,4 Non Blondes,1993,Group,female,00:04:48,english,Bea,new,20211005,1.809,"regular,womens,pride"
When You're Gone,"Bryan Adams, Melanie C",1998,Person,duet,00:03:20,english,Mischa,new,,,
Where the Streets Have No Name,U2,1987,Group,male,00:04:46,english,Mischa,new,20220215,1.681,
